# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# RHX       : Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# RHXH      : Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
# STN,YYYYMMDD,  RHX, RHXH
  370,20191226,   39,   23
  370,20191227,   11,    1
  370,20191228,    0,    1
  370,20191229,    0,    1
  370,20191230,    0,    1
  370,20191231,   -1,    1
  370,20200101,    0,    1
  370,20200102,    0,    1
  370,20200103,   18,   13
  370,20200104,    4,   19
  370,20200105,   -1,    1
  370,20200106,   11,   24
  370,20200107,   -1,    1
  370,20200108,    6,   10
  370,20200109,   13,   17
  370,20200110,   16,    1
  370,20200111,    0,    1
  370,20200112,    6,   12
  370,20200113,   -1,    1
  370,20200114,    9,    4
  370,20200115,   11,   17
  370,20200116,    0,    1
  370,20200117,    2,   12
  370,20200118,    4,   17
  370,20200119,   -1,    1
  370,20200120,    0,    1
  370,20200121,    0,    1
  370,20200122,   -1,    1
  370,20200123,    0,    1
  370,20200124,    0,    1
  370,20200125,    0,    1
  370,20200126,    0,    1
  370,20200127,   11,   21
  370,20200128,    9,    1
  370,20200129,    1,    1
  370,20200130,    6,   16
  370,20200131,   -1,    1
  370,20200201,   18,   17
  370,20200202,   14,   11
  370,20200203,   17,   22
  370,20200204,   26,    8
  370,20200205,    0,    1
  370,20200206,    0,    1
  370,20200207,    0,    1
  370,20200208,    8,   17
  370,20200209,  102,   21
  370,20200210,   40,    8
  370,20200211,    8,   16
  370,20200212,   -1,    1
  370,20200213,   26,   10
  370,20200214,    1,    3
  370,20200215,   -1,    1
  370,20200216,   61,   18
  370,20200217,   19,   17
  370,20200218,   20,   24
  370,20200219,   36,    2
  370,20200220,   48,   19
  370,20200221,    0,    1
  370,20200222,   13,   19
  370,20200223,   29,   15
  370,20200224,   11,    9
  370,20200225,   12,   23
  370,20200226,   35,    2
  370,20200227,   19,   14
  370,20200228,   19,   19
  370,20200229,   15,   14
  370,20200301,    4,    6
  370,20200302,   14,   18
  370,20200303,    9,   17
  370,20200304,    4,    4
  370,20200305,   30,   20
  370,20200306,    9,   18
  370,20200307,   -1,    1
  370,20200308,    9,   12
  370,20200309,    4,   24
  370,20200310,   25,    2
  370,20200311,   39,    3
  370,20200312,   15,    3
  370,20200313,   13,   12
  370,20200314,    4,   23
  370,20200315,    0,    1
  370,20200316,   -1,    1
  370,20200317,    0,    1
  370,20200318,    0,    1
  370,20200319,    0,    1
  370,20200320,    6,   18
  370,20200321,    0,    1
  370,20200322,    0,    1
  370,20200323,    0,    1
  370,20200324,    0,    1
  370,20200325,    0,    1
  370,20200326,    0,    1
  370,20200327,    0,    1
  370,20200328,    0,    1
  370,20200329,    0,    1
  370,20200330,   -1,    1
  370,20200331,    0,    1
